Korean Word,English Meaning,Hindi Meaning,Definition,Korean Sentence,Hindi Sentence
귀엽다,cute,प्यारा,"Attractive in a pretty or endearing way","그 아이는 귀여워요.","वह बच्चा प्यारा है।"
규칙,rule,नियम,"A guideline or principle","규칙을 지켜야 해요.","हमें नियमों का पालन करना चाहिए।"
귤,mandarin orange,MANDARIN,"A small citrus fruit","귤을 먹어요.","मैं मंदारिन खाता हूँ।"
그,it,वह,"A pronoun referring to a previously mentioned object","그것이 맞아요.","यह सही है।"
그거,it,वह,"An informal pronoun for something previously mentioned","그거 주세요.","वह मुझे दें।"
그것,it,वह,"An object or concept that has been mentioned","그것이 중요해요.","यह महत्वपूर्ण है।"
그곳,there,वहाँ,"A place that is not close to the speaker","그곳에 가세요.","वहां जाइए।"
그날,that day,उस दिन,"A specific day previously mentioned","그날 만나요.","उस दिन मिलते हैं।"
그냥,"just, as it is",अभी,"Without any changes or additions","그냥 그렇게 해요.","इसी तरह से करें।"
그동안,"meantime, meanwhile, up to now",इस बीच में,"During a certain period of time","그동안 잘 지냈어요?","इस बीच आप कैसे हैं?"
그들,"them, they",उन्हें,"A pronoun for a group of people","그들은 가요.","वे जा रहे हैं।"
그때,"then, at that time",उस समय,"At a specific time in the past","그때는 어땠어요?","उस समय क्या हुआ था?"
그래,"Yes, Yeah",ठीक है,"An affirmation or agreement","그래요.","हां।"
그래서,"so, thus",इसलिए,"A word used to show cause or effect","그래서 이렇게 했어요.","इसलिए ऐसा किया।"
그램,gram,ग्राम,"A unit of weight","10그램의 설탕을 넣어요.","मैं 10 ग्राम चीनी डालता हूँ।"
그러나,"but, however",तथापि,"Used to introduce a contrast","그러나 나중에 해요.","लेकिन बाद में करते हैं।"
그러니까,"so, because",इसलिए,"Used to explain a reason","그러니까 가지 말아요.","इसलिए मत जाइए।"
그러면,"then, if so",तब,"Used to indicate a consequence or condition","그러면 어떻게 해요?","फिर क्या करेंगे?"
그런,"then, such",वह,"Describes something previously mentioned","그런 일이 없어요.","ऐसी कोई बात नहीं है।"
그런데,"by the way, however",तथापि,"Used to introduce a different topic or contrast","그런데 어떻게 지냈어요?","वैसे आप कैसे थे?"
그럼,then,तब,"Used to suggest a course of action","그럼 어떻게 할까요?","फिर हम क्या करें?"
그렇게,"like that, so",उस तरह,"Describes a manner or method","그렇게 하면 돼요.","ऐसा करने से काम हो जाएगा।"
그렇구나,"well, I see.",अच्छा ऐसा है,"Used to express understanding or realization","아, 그렇구나.","अरे, समझ गया।"
그렇다,"yes, that is",हाँ,"Used to confirm something","그렇습니다.","हाँ, यही है।"
기,"machine",यंत्र,"A mechanical device or instrument","기계가 고장났어요.","मशीन खराब हो गई है।"
기억,"memory",स्मृति,"The ability to remember information","기억이 나지 않아요.","मुझे याद नहीं आ रहा।"
기분,"feeling, mood",मूड,"An emotional state","기분이 좋아요.","मेरा मूड अच्छा है।"
기쁘다,"happy, delighted",खुश,"Feeling or showing joy","기쁘게 생각해요.","मुझे खुशी हो रही है।"
기술,"technology, skill",तकनीक,"The application of scientific knowledge","새로운 기술을 배워요.","मैं नई तकनीक सीख रहा हूँ।"
기차,"train",ट्रेन,"A mode of transportation consisting of linked cars","기차를 타고 여행해요.","मैं ट्रेन से यात्रा करता हूँ।"
긴,"long, lengthy",लंबा,"Having considerable length","긴 머리를 잘랐어요.","मैंने अपने लंबे बाल कटवा लिए।"
기타,"other, etc.",अन्य,"Referring to something else or additional","기타 질문이 있습니까?","क्या कोई और सवाल है?"
길,"road",सड़क,"A pathway for vehicles or people","길을 건너세요.","सड़क पार करें।"
길다,"long",लंबा,"Extending a great distance","길이가 너무 길어요.","लंबाई बहुत अधिक है।"
김치,"kimchi",किमची,"A traditional Korean side dish made from fermented vegetables","김치를 좋아해요.","मुझे किमची पसंद है।"
깎다,"to peel, cut",छीलना,"To remove the outer layer or trim","사과를 깎아요.","मैं सेब छीलता हूँ।"
깨다,"to break",टूटना,"To separate into pieces or fragments","유리가 깨졌어요.","गिलास टूट गया।"
깨끗하다,"clean",स्वच्छ,"Free from dirt or impurities","방이 깨끗해요.","कमरा साफ है।"
꺼내다,"to take out",निकालना,"To remove something from a place","책을 꺼내세요.","किताब निकालें।"
끊다,"to cut off, sever",काटना,"To stop or interrupt something","전화가 끊겼어요.","फोन कट गया।"
끝나다,"to end",समाप्त होना,"To reach the end of something","수업이 끝났어요.","कक्षा समाप्त हो गई।"
끝내다,"to finish",समाप्त करना,"To complete something","숙제를 끝냈어요.","मैंने होमवर्क पूरा कर लिया।"
가게,"Store, Shop","इकट्ठा करना","A place where goods are sold","가게에 물건을 사러 갑니다.","मैं दुकान से सामान खरीदने जा रहा हूँ।"
가격,Price,कीमत,"The amount of money expected for something","이 가방의 가격은 얼마입니까?","इस बैग की कीमत कितनी है?"
가구,Furniture,फर्नीचर,"Movable objects intended to support various human activities","가구를 새로 샀습니다.","मैंने नया फर्नीचर खरीदा।"
가깝다,Close,पास होना,"Being near in distance","학교가 집에서 가까워요.","स्कूल मेरे घर के पास है।"
가끔,Sometimes,कभी-कभी,"Occasionally; now and then","가끔 공원에 가요.","मैं कभी-कभी पार्क में जाता हूँ।"
가다,Go,जाना,"To move from one place to another","학교에 갑니다.","मैं स्कूल जा रहा हूँ।"
가르치다,Teach,पढ़ाना,"To impart knowledge","선생님이 학생들을 가르치십니다.","शिक्षक छात्रों को पढ़ा रहे हैं।"
가방,Bag,बैग,"A container used to carry things","가방이 무거워요.","बैग भारी है।"
가볍다,Light,हल्का,"Having little weight","가벼운 옷을 입었어요.","मैंने हल्के कपड़े पहने हैं।"
가수,Singer,गायक,"A person who sings","그녀는 유명한 가수입니다.","वह एक मशहूर गायिका है।"
가슴,"Chest, Breast",छाती,"The front part of a person's body","가슴이 두근거려요.","मेरा दिल धड़क रहा है।"
가요,Song,गाना,"A short poem or other set of words set to music","그 가요는 인기가 많아요.","वह गाना बहुत लोकप्रिय है।"
가운데,Middle,मध्य,"The point or position at an equal distance from the sides","가운데에 앉으세요.","बीच में बैठें।"
가위,Scissors,कैंची,"A tool used for cutting","가위로 종이를 잘랐어요.","मैंने कैंची से कागज काटा।"
가을,"Autumn, Fall",शरद ऋतु,"The season between summer and winter","가을은 시원한 계절입니다.","शरद ऋतु एक ठंडा मौसम है।"
가장,Most,"सबसे ज्यादा","To the greatest extent","그는 가장 높아요.","वह सबसे लंबा है।"
가져가다,"Take away",ले जाना,"To remove something from a place","그는 물건을 가져갔어요.","वह सामान ले गया।"
가져오다,Bring,लाना,"To take or carry someone or something to a place","책을 가져오세요.","किताब लाओ।"
가족,Family,परिवार,"A group consisting of parents and children living together","가족과 함께 시간을 보냈어요.","मैंने अपने परिवार के साथ समय बिताया।"
가지,Branch,शाखा,"A part of a tree","가지가 부러졌어요.","शाखा टूट गई।"
가지다,Have,रखना,"To own, hold, or possess something","그는 많은 돈을 가지고 있어요.","उसके पास बहुत पैसा है।"
각,Each,प्रत्येक,"Every one of two or more considered individually","각 학생은 자기 책을 가지고 있어요.","प्रत्येक छात्र के पास अपनी किताब है।"
간,While,"बीच में","A period of time","간단한 일을 맡겼어요.","उसने मुझे एक आसान काम दिया।"
간단하다,"Simple, Easy",आसान,"Easy to understand or do","이 문제는 간단해요.","यह समस्या आसान है।"
간단히,Simply,"सिर्फ","In a straightforward or uncomplicated manner","간단히 설명해 주세요.","कृपया इसे सरलता से समझाएं।"
간식,Snack,नाश्ता,"A small amount of food eaten between meals","간식으로 과일을 먹었어요.","मैंने नाश्ते में फल खाया।"
간장,"Soy sauce",सोया सॉस,"A dark sauce made from fermented soybeans","간장을 조금 넣으세요.","थोड़ा सा सोया सॉस डालें।"
간호사,Nurse,नर्स,"A person trained to care for the sick","그녀는 간호사입니다.","वह एक नर्स है।"
갈비,"Spareribs",स्पेयररिब्स,"Grilled or roasted ribs of pork or beef","갈비를 먹으러 갔어요.","मैं स्पेयररिब्स खाने गया।"
국수,noodle,सिर,"A type of Korean noodle dish","국수를 먹었어요.","मैंने नूडल्स खाए।"
국어,Korean language,कोरियाई,"The Korean language","한국어를 배우고 있어요.","मैं कोरियाई सीख रहा हूँ।"
국적,"nationality, country of citizenship",राष्ट्रीयता,"The status of belonging to a particular nation","국적을 확인하세요.","कृपया राष्ट्रीयता की पुष्टि करें।"
국제,international,अंतरराष्ट्रीय,"Relating to or involving two or more countries","국제 뉴스가 중요해요.","अंतरराष्ट्रीय समाचार महत्वपूर्ण हैं।"
군인,"soldier, military personnel",सैनिक,"A person who serves in the army","군인들은 훈련을 받습니다.","सैनिक प्रशिक्षण प्राप्त करते हैं।"
굽다,bake,विवाद,"To cook food by dry heat","빵을 구워요.","मैं ब्रेड बेक करता हूँ।"
권,"~ book(s)",आयतन,"A book or volume","책 한 권을 읽었어요.","मैंने एक किताब पढ़ी।"
귀,ear,कान,"The organ of hearing","귀가 아파요.","मेरे कान में दर्द हो रहा है।"
귀엽다,cute,प्यारा,"Attractive in a pretty or endearing way","그 아이는 귀여워요.","वह बच्चा प्यारा है।"
