Korean Word,English Meaning,Hindi Meaning
나가다,"go out, get out",बाहर जाओ
나누다,"share, divide",विभाजित करना
나다,"occur, come out",बढ़ना
나라,country,देश
나무,tree,पेड़
나빠지다,"spoil, deteriorate",बदतर हो
나쁘다,bad,खराब
나오다,"come out, appear",बाहर आओ
나이,"age, old",आयु
나중,"later, after",बाद में
나타나다,appear,के जैसा लगना
나흘,four days,चार दिन
낚시,fishing,मछली का कांटा
날,day,मुझे
날씨,weather,मौसम
날짜,date,तारीख
남,"south, man",अन्य
노래방,Karaoke shop,कराओके
노래하다,sing,गाओ
노력하다,"endeavor, strive",कठिन प्रयास
노트,note,टिप्पणियाँ
녹색,green,हरा
녹차,green tea,हरी चाय
놀다,play,खेल
놀라다,be surprised,हैरान
농구,basketball,बास्केटबाल
높다,high,ऊँचा हो
놓다,put,रखना
누가,who,कौन
누구,who,कौन
누나,sister (as seen from the younger brother),बड़ी बहन
누르다,"press down, push",प्रेस
눈,"eye, snow",आँख
눈물,tear,अश्रु
눈사람,snowman,हिम मानव
눈싸움,"staring contest, snowball fight",बर्फ के गेंद से लड़ाई
눕다,"lie down, sleep",लेट जाओ
뉴스,news,समाचार
뉴욕,New York,न्यूयॉर्क
느끼다,feel,अनुभव करना
느낌,feeling,अनुभव करना
느리다,slow,धीमा
늘,always,हमेशा
늘다,"gain, increase",पाना
능력,ability,क्षमता
늦다,"late, delay",देर
늦잠,"overslept, sleeping in late",अधिक सोया
님,Sir,महोदय
다,"all, whole",सभी
다녀오다,"return, come back",वापस आओ
다니다,"go, commute",जाना
다르다,different,अलग
다른,"other ~, another ~, different ~",अलग
다리,"bridge, leg, foot",टांग
다섯,5,पाँच
다시,again,दोबारा
다음,"next, after",अगला
더운물,hot water,गरम पानी
덕분,"thanks for, thanks to",धन्यवाद
덥다,hot,गर्मी है
덮다,cover,ढकना
데리다,"bring, take along",साथ दिया जाए
데이트,"date, dating",तारीख
도로,road,सड़क का नाम
도서관,library,पुस्तकालय
도시,city,शहर
도와주다,help,मदद
도움,"help, assistance",मदद
도착,arrival,आना
도착하다,arrive,आना
도쿄,Tokyo,टोक्यो
독서,reading,पढ़ना
독서실,reading room,वचनालय
독서하다,read,पढ़ना
독일,Germany,जर्मनी
돈,money,धन
돌아가다,"return, go back",वापस करना
돌아오다,"come back, come home",वापस आओ
돕다,help,मदद
동네,"town, neighborhood",अड़ोस-पड़ोस
동대문시장,Dongdaemun market,डोंगडेमुन बाज़ार
동물,animal,जानवर
동생,"brother, sister",छोटा भाई
동아리,"club, group",क्लब
동안,"during, between",दौरान
동양,"eastern, orient",पूरब
동전,coin,सिक्का
동쪽,east,पूर्व
돼지,pig,सुअर
돼지고기,pork,सुअर का माँस
되다,become,बनना
된장,fermented soybean paste,सोयाबीन की लेई
된장국,soybean paste soup,मिसो सूप
된장찌개,soybean paste stew,सोयाबीन पेस्ट सूप
두,two,दो
두껍다,thick,मोटा
두다,put,बिछाना
똑바로,"upright, straight",ईमानदार
뛰다,run,धड़कना
뜨겁다,hot,गर्म
뜨다,"rise, open (the eyes)",Knit
뜻,meaning,अर्थ
라디오,radio,रेडियो
라면,ramen,ramen
러시아,Russia,रूस
로션,skin lotion,लोशन
마늘,garlic,लहसुन
마르다,dry,सूखा
마리,"~ animal(s), ~ head(s)",जानवरों की संख्या
마시다,drink,पीना
마음,"mind, feeling",दिमाग
마지막,last,अंतिम
마치다,"finish, end",खत्म करना
마흔,40,चालीस
막히다,"be blocked, be clogged",गलत नहीं
만,"only, ten thousand",केवल
만나다,meet,मिलो
만두,dumpling,उबाली हुई पकौड़ी
만들다,"make, create",बनाना
만일,"if, should",चाहिए
만지다,touch,छूना
만화,"comic book, cartoon",हास्य पुस्तक
많다,many,बहुत
많이,"a lot of, many",अनेक
말,"word, talk",शब्द
말씀,"words, remarks",शब्द
말씀하다,talk,बोलना
말하기,speaking,बोला जा रहा है
말하다,"say, talk",कहना
맑다,"clear, clean",स्पष्ट
맛,"flavor, taste",स्वाद
맛없다,not delicious,यह स्वादिष्ट नहीं है
맛있다,delicious,अच्छी बात है
맞다,"right, fit, correct",सही
맞습니다,That's right.,आप ठीक कह रहे हैं
맞아요,That's right.,यह सही है
맞은편,"across, the other side, opposite",विलोम
못하다,~ can not do,नहीं कर सकता
몽골,Mongolia,मंगोलिया
무,radish,मूली
무겁다,heavy,भारी हो
무궁화,rose of sharon,शेरोन का गुलाब
무료,free,मुक्त
무릎,knee,घुटना
무리,"swarm, unreasonable",कंपनी
무섭다,scary,डरावना
무슨,what,क्या
무엇,what,क्या
무엇이,what,क्या
무역,trade,व्यापार
무용,dance,नृत्य
무척,very,बहुत
문,"door, gate",दरवाजा
문구점,stationery store,स्टेशनरी की दुकान
문장,sentence,वाक्य
문제,problem,संकट
문화,culture,संस्कृति
묻다,ask,पूछना
물,water,पानी
물건,"stuff, thing",चीज़
물론,"sure, of course",बिल्कुल
물어보다,ask,पूछना
뭐,what,क्या
미국,The United States,यूएसए
미래,future,भविष्य
미리,"in advance, beforehand",पहले ही
미술,art,कला
미술관,"art gallery, art museum",आर्ट गैलरी
미안하다,sorry,क्षमा मांगना
미안합니다,I'm sorry.,मुझे माफ़ करें
미용실,beauty salon,ब्यूटी सैलून
미터,meter,मीटर
민속촌,folk village,लोक ग्राम
밀가루,flour,आटा
밀리다,"be shaved, be pushed",अधूरा छोड़ दिया जाए
밑,"bottom, below",तल
바꾸다,change,परिवर्तन
배부르다,be full (I am full.),पूर्ण रहो
배우,actor,अभिनेता
배우다,learn,सीखना
배탈,stomachache,पेट की ख़राबी
백,100,सौ
백화점,department store,डिपार्टमेंट स्टोर
버리다,"abandon, throw away",फेंक देना
버스,bus,बस
번,~ time(s),वां
번호,number,संख्या
벌다,"earn, make money",कमाना
벌써,already,पहले से
벗다,"take off (clothes, shoes)",छंटनी
벚꽃,cherry blossom,चेरी फूल
베이징,Beijing,पेकिंग
베트남,Vietnam,वियतनाम
벽,wall,दीवार
변호사,lawyer,वकील
별,star,तारा
별로,not really,ज़रूरी नहीं
병,"illness, ~ bottle(s)",दल
병원,hospital,अस्पताल
보내다,"send, spend",जाने दो
보다,see,देखना
보도,"sidewalk, report",फ़ुटपाथ
보이다,"show, look",दिखाओ
보통,"usually, normally, in general",आमतौर
복숭아,peach,आड़ू
복잡하다,"complicated, crowded",उलझा हुआ
볶다,fry,चिढ़ाना
볶음밥,fried rice,तला - भुना चावल
볼펜,ballpoint pen,बॉलपॉइंट कलम
봄,spring,वसंत
봉지,bag,पेपर बैग
봉투,envelope,लिफ़ाफ़ा
뵙다,meet,फिर मिलते हैं
부동산,real estate,रियल एस्टेट
부드럽다,"soft, friendly",कोमल
부르다,"call, sing",पुकारना
부모,parents,अभिभावक
빵집,bakery,बेकरी
빼다,"remove, pull, pull out",निकालना
뿐,only,केवल
사,4,खरीदना
사거리,"intersection, four corners",चौराहा
사계절,four seasons,चार मौसम
사고,accident,दुर्घटना
사과,apple,क्षमा माँगना
사다,buy,खरीदना
사람,"person, man",व्यक्ति
사랑,love,प्यार
사랑하다,love,प्यार
사례,"case, example",उदाहरण
사무실,office,कार्यालय
사물,"object, thing",वस्तुओं
사십,40,चालीस
사업가,"entrepreneur, businessman",व्यवसायी
사용하다,use,उपयोग
사원,"temple, employee",मस्जिद
사월,April,अप्रैल
사이,"between, while",बीच में
사이다,cider,साइडर
사이즈,size,आकार
사인하다,sign,संकेत
사장,"CEO, the president",अध्यक्ष
사전,dictionary,शब्दकोष
사진,"picture, photo",चित्र
사진기,camera,कैमरा
사촌,cousin,चचेरा
사탕,candy,कैंडी
사흘,3 days,तीन दिन
산,mountain,पर्वत
산책,walk,टहलना
살,"flesh, ~ year(s) old",मोटा
살다,live,रहना
삼,3,तीन
삼거리,"intersection, three-way intersection",तीनतरफा चौराहा
삼계탕,Samgyetang,समग्येतांग
삼십,30,तीस
삼월,March,मार्च
설렁탕,Seolleongtang,सियोलॉन्गटांग
설명,"explanation, description",स्पष्टीकरण
설명하다,explain,व्याख्या करना
설악산,Mt. Seorak,सोराक्सन पर्वत
설탕,sugar,चीनी
섬,island,द्वीप
성,"castle, last name",किला
성격,personality,व्यक्तित्व
성함,name,नाम
세계,world,दुनिया
세수하다,wash,अपना चेहरा धोना
세우다,"set up, formulate",खड़ा करना
세일하다,have a sale,बिक्री
세탁기,washing machine,वॉशिंग मशीन
세탁소,"dry cleaners, laundromat",धोने लायक कपड़े
센터,center,केंद्र
센티미터,centimeter,सेंटीमीटर
셋,3,तीन
셋째,third,तीसरा
소,"small, cow",गाय
소개,introduction,परिचय
소개하다,introduce,परिचय देना
소고기,beef,गाय का मांस
소금,salt,नमक
소리,"sound, voice",आवाज़
소설,novel,उपन्यास
소설가,novelist,उपन्यासकार
소식,news,ख़बरें
소파,sofa,सोफ़ा
소포,parcel,पैकेट
소풍,"picnic, trip",भ्रमण
소화제,"peptic, digestive",पाचन औषधि
속,inside,अंदर
손,hand,हाथ
손가락,finger,उँगलिया
손님,customer,ग्राहक
손수건,handkerchief,रूमाल
송이,"bunch, flower, cluster",झुंड
쇼핑,shopping,खरीदारी
수건,"towel, washcloth",तौलिया
시다,sour,खट्टा
시디,CD,सीडी
시민,citizen,नागरिक
시설,facility,सुविधाएँ
시외,suburbs,शहर से बाहर
시원하다,"cool, refresh",ठंडा
시월,October,अक्टूबर
시작,start,शुरू
시작되다,begin,शुरू
시작하다,"start, begin",शुरू
시장,market,बाज़ार
시청,city hall,टाउन हॉल
시키다,"make someone do, order",तय करना
시험,"exam, test",परीक्षा
식당,"restaurant, cafeteria",रेस्टोरेंट
식사,meal,खाना
식탁,table,मेज़
신,"god, new",ईश्वर
신다,"put on, wear",लगाओ
신문,newspaper,अखबार
신발,"shoes, footwear",जूते
신청서,application forms,आवेदन फार्म
신청하다,"put in for, apply for",आवेदन करना
실례,excuse,चित्रण
실례하다,be excused,माफ़ करें
실수,"mistake, failure",गलती
싫다,hate,मुझे यह पसंद नहीं है
싫어하다,"dislike, hate",नापसंद
심하다,"severe, terrible",अतिवादी हो
십,10,दस
십이월,December,दिसंबर
십일월,November,नवंबर
싱겁다,not salty,यह नीरस है
싶다,want,हमशक्ल
싸다,"cheap, wrap",सस्ता
싸우다,fight,झगड़ा करना
쌀,rice,चावल
쌀밥,cooked rice,चावल
쌓이다,"stack up, pile up",ढेर
썰다,"chop, cut",भूसा
아흔,90,नब्बे
악기,musical instrument,संगीत के उपकरण
안,"within, not ~",नहीं
안경,glasses,चश्मा
안내하다,"guide, invite",मार्गदर्शक
안녕하세요,"hi, hello",नमस्ते
안녕하십니까,hello,नमस्ते
안다,"embrace, cradle",अपनाना
안전하다,safe,सुरक्षित
앉다,sit,बैठना
알다,know,जानना
알리다,inform,समाधिवाली झंकार
알맞다,"fit, appropriate",उपयुक्त
알았습니다,I understood.,ठीक है
앞,"front, previous",सामने
애,child,बच्चा
액세서리,accessory,सामान
야구,baseball,बेसबॉल
야채,vegetable,सब्ज़ी
약,"about, medicine",लगभग
약간,"slightly, a little",थोड़ा
약국,pharmacy,फार्मेसी
약사,pharmacist,रसायनज्ञ
약속,"appointment, promise",वादा
얇다,thin,पतला
양,"amount, sheep",भेड़
양말,socks,मोज़े
양복,suit,सुविधाजनक होना
양식,"form, western style",खाना
양파,onion,प्याज
얘기하다,talk,बात करना
어깨,shoulder,कंधा
어느,"which, how",कोई
어둡다,dark,अँधेरा
어디,where,कहाँ
어떤,"which, what",कौन
어떻게,how,कैसे
어떻다,how,कैसा रहेगा
어떻습니까?,How is it?,कैसा रहेगा?
어렵다,difficult,कठिन
역사,history,इतिहास
연락처,contact information,संपर्क
연세,age  (honorific form),योनसेई
연습,practice,अभ्यास
연습하다,practice,अभ्यास
연예인,celebrity,प्रसिद्ध व्यक्ति
연필,pencil,पेंसिल
연휴,consecutive holidays,छुट्टी
열,10,गर्मी
열다,open,खुला
열리다,be opened,खुला
열쇠,key,चाबी
열심히,"hard, enthusiastic",कठिन प्रयास
열차,train,रेलगाड़ी
엽서,postcard,पोस्टकार्ड
영,"spirit, zero",शून्य
영국,The United Kingdom,यूके
영상,video,वीडियो
영어,English,अंग्रेज़ी
영어회화,English conversation,अंग्रेजी में वार्तालाप
영하,"minus, below zero",शून्य से नीचे
영화,movie,चलचित्र
영화관,movie theater,सिनेमा
영화배우,movie star,फ़िल्म स्टार
영화표,movie ticket,मूवी का टिकट
옆,side,ओर
예,yes,हाँ
예문,"example, model sentence",उदाहरण वाक्य
예쁘다,"pretty, beautiful",सुंदर
예순,60,साठ
예약,reservation,आरक्षण
옛날,"a long ago, olden days",पुराने दिन
오,5,ओह
오늘,today,आज
오다,come,आना
오래,"long, much",लंबे समय तक
오래간만,after a long time,बहुत दिनों से मुलाकात नहीं हुई
오래간만입니다,Long time no see.,इसे बीते एक अर्सा हो गया है
오랜만,after a long time,बहुत दिनों से मुलाकात नहीं हुई
오랜만에,after a long time,लंबे समय तक
우리나라,"our country, South Korea",कोरिया
우산,umbrella,छाता
우선,first,सबसे पहले
우유,milk,दूध
우체국,post office,पोस्ट ऑफ़िस
우표,stamp,टिकट
운동,exercise,कसरत करना
운동복,"sportswear, gym clothes",खेलों
운동선수,athlete,धावक
운동장,"playground, athletic field",खेल का मैदान
운동하다,exercise,कसरत करना
운동화,sports shoes,स्नीकर्स
운전하다,drive,गाड़ी चलाना
울다,cry,रोना
울리다,"make cry, chime",गूंजना
움직이다,move,कदम
웃기다,"funny, make someone laugh",याक
웃다,laugh,हँसना
원,won (currency units of Korea),एक
원피스,one-piece dress,एक टुकड़ा
원하다,"want, wish, desire",चाहना
월,month,महीना
월급,monthly salary,वेतन
월드컵,world cup,विश्व कप
월세,monthly rent,मासिक किराया
월요일,Monday,सोमवार
웬일,"for some reason,  What was it?",क्यों
위,"top, up",पेट
위치,"location, position",जगह
위하다,"for, in favor of, for the sake of",के लिए
위험하다,dangerous,खतरनाक
유럽,Europe,यूरोप
유리,glass,काँच
유명하다,famous,प्रसिद्ध
유월,June,जून
유학,study abroad,विदेश में अध्ययन करें
유학생,"foreign student, international student",अंतरराष्ट्रीय छात्र
유행,trend,पहनावा
육,6,छह
육십,60,साठ
이해하다,understand,समझना
인,"sign, ~ person(s)",व्यक्ति
인구,population,जनसंख्या
인기,popularity,लोकप्रियता
인기스타,popular star,लोकप्रिय सितारा
인도,India,भारत
인사,greetings,अभिवादन
인사하다,greet,अभिवादन करना
인삼,ginseng,GINSENG
인상,impression,प्रभाव
인천,Incheon,इनचान
인터넷,internet,इंटरनेट
인터뷰하다,interview,साक्षात्कार
인형,doll,गुड़िया
일,"work, 1, day",दिन
일곱,7,सात
일기,diary,डायरी
일기예보,weather forecast,मौसम पूर्वानुमान
일본,Japan,जापान
일본드라마,Japanese drama,जापानी नाटक
일본말,Japanese language,जापानी
일본사람,Japanese people,जापानी
일본어,Japanese language,जापानी
일본요리,Japanese food,जापानी भोजन
일상생활,everyday life,दैनिक जीवन
일식,"Japanese style, Japanese food",जापानी खाना
일어나다,"rise, stand, occur",जागो
일어서다,"get up, stand up",खड़े हो जाओ
일요일,Sunday,रविवार
일월,January,जनवरी
일주일,one week,एक सप्ताह
일찍,early,जल्दी
일하다,work,काम
일흔,70,सत्तर
읽기,reading,पढ़ना
읽다,read,पढ़ना
잃다,lose,खोना
잃어버리다,lose,खोना
입,mouth,मुँह
입구,entrance,प्रवेश द्वार
장마철,rainy season,बरसात का मौसम
장미,rose,गुलाब
장소,place,जगह
장점,advantage,योग्यता
재료,material,INGREDIENT
재미없다,"not funny, uninteresting",यह मजेदार नहीं है
재미있다,interesting,मज़ा
재킷,jacket,जैकेट
저,that,मैं
저거,that,वह एक
저것,that,वह
저곳,over there,वहाँ पर
저기,"there, over there",माफ़ करें
저녁,"dinner, evening, night",रात का खाना
저녁식사,dinner,रात का खाना
저렇게,"like that, in that way",उस तरह
저분,that person,उस व्यक्ति
저쪽,"there, over there",वहाँ पर
저희,we,हम
적,enemy,दुश्मन
적다,"be few, write down",कम हो
전,"all, before",जियोन
전공,major,स्पेशलिटी
전기자동차,electric car,इलेक्ट्रिक कार
전자사전,electronic dictionary,इलेक्ट्रॉनिक शब्दकोश
전하다,tell,देना
전혀,not at all,बिल्कुल भी
전화,telephone,फोन कॉल
전화기,telephone,फ़ोन
전화번호,phone number,फ़ोन नंबर
절,"~ section(s), temple",मैं
절대,"never, absolutely",मुक्ति
젊다,young,जवान रहो
점,point,डॉट
점수,"score, point",अंक
점심,lunch,दिन का खाना
점심시간,lunchtime,लंच टाइम
점심식사,lunch,दिन का खाना
점원,clerk,विक्रेता सहायक
점퍼,jacket,उछलनेवाला
주무시다,"sleep, rest",नींद
주문하다,order,आदेश
주변,around,परिधि
주부,housewife,गृहिणी
주사,injection,इंजेक्शन
주소,address,पता
주스,juice,रस
주위,around,परिवेश
주인,owner,मालिक
주차장,parking lot,पार्किंग स्थल
주차하다,park,पार्क
주황색,orange color,नारंगी
죽,"bamboo, porridge",दलिया
죽다,die,मरना
준비,preparation,तैयारी
준비하다,prepare,तैयार करना
줄,"line, column, string",रेखा
줄다,"shrink, decrease",सिकुड़ना
중,"medium, during",मध्य
중국,China,चीन
중국어,Chinese,चीनी
중국집,Chinese restaurant,चीनी रेस्तरां
중식,Chinese cuisine,चीनी भोजन
중심,center,केंद्र
중요,importance,महत्त्व
중요하다,important,महत्वपूर्ण
중학교,"middle school, Junior high school",मिडिल स्कूल
중학생,middle school student,मध्य विद्यालय के छात्र
즐거워하다,have fun,खुश रहो
즐겁다,"fun, be pleasant",सुखद हो
즐기다,"enjoy, have fun",आनंद लो
증세,"symptom, medical condition",कर वृद्धि
지각,"tardy, being late",धारणा
지갑,wallet,बटुआ
지금,now,अब
지나다,pass by,के पास से निकला
지난달,last month,पिछला महीना
지난번,last time,पिछली बार
지난주,last week,पिछले सप्ताह
지내다,"stay, spend, live",करना
책상,desk,मेज़
책임,responsibility,ज़िम्मेदारी
책장,bookshelf,किताबों की अलमारी
처음,"first, for the first time",पहला
처음 뵙겠습니다,Nice to meet you.,आपसे मिलकर अच्छा लगा
천,1000,कपड़ा
천천히,slowly,धीरे से
철,"iron, season",इस्पात
첫,first,पहला
첫째,first,पहला
청바지,blue jeans,जींस
청소기,vacuum cleaner,वैक्यूम क्लीनर
청소하다,"sweep, clean",साफ
초,~second(s),मोमबत्ती
초대하다,invite,आमंत्रित करना
초등학교,elementary school,प्राथमिक स्कूल
초등학생,elementary student,प्राथमिक स्कूल के छात्र
초록색,green color,हरापन
초콜릿,chocolate,चॉकलेट
촬영하다,take a picture,गोली मार
최고,"best, the highest",श्रेष्ठ
추다,dance,नृत्य
추석,Chusoku (Korean Thanksgiving Day),चुसेक
추억,memory,याद
축구,"football, soccer",फुटबॉल
축제,festival,उत्सव
축하,celebration,बधाई
축하하다,celebrate,बधाई
축하합니다,congratulations,बधाई हो
출구,exit,बाहर निकलना
출근하다,go to work,काम पर जाना
출발,"start, departure",प्रस्थान
출발하다,depart,प्रस्थान
출장,business trip,व्यापार यात्रा
춤,dance,नृत्य
춤추다,dance,नृत्य
춥다,cold,ठंडा
취미,hobby,शौक
취소하다,cancel,रद्द करना
취직하다,get a job,नौकरी मिलना
킬로그램,kilogram,किलोग्राम
킬로미터,kilometer,किलोमीटर
타다,"ride, get on",सवारी
타월,towel,तौलिया
탁구,table tennis,टेबल टेनिस
태국,Thailand,थाईलैंड
태권도,Taekwondo,तायक्वोंडो
태어나다,be born,उत्पन्न होना
태풍,typhoon,आंधी
택시,taxi,टैक्सी
탤런트,entertainers,प्रतिभा
터미널,terminal,टर्मिनल
테니스,tennis,टेनिस
테이블,table,मेज़
텔레비전,TV,टेलीविजन
토마토,tomato,टमाटर
토요일,Saturday,शनिवार
통,"barrel, ~ package(s)",CONTAINER
통장,"bank book, (deposit) passbook",बैंक की पुस्तक
통하다,"pass, lead",उत्तीर्ण
퇴근하다,leave the office,काम छोड़
특별히,especially,विशेष रूप से
특징,"characteristic, feature",विशेषता
특히,"especially, in particular",विशेष रूप से
틀다,turn on (the switch),चालू करो
틀리다,wrong,मुड़ जाओ
티셔츠,t-shirt,टी शर्ट
팀,team,टीम
파,"wave, green onion",हरी प्याज
파란색,blue color,नीला
파랗다,blue,नीला
파티,party,दल
팔,8,आठ
팔다,sell,बेचना
팔리다,"sell, be sold",बेचना
팔십,80,अस्सी
팔월,August,अगस्त
패션,fashion,पहनावा
퍼센트,percent,प्रतिशत
페이지,page,पेज
학년,"grade, school year",श्रेणी
학생,student,विद्यार्थी
학생증,student ID card,स्टूडेंट आईडी
학원,"academy, school",अकादमी
한,"one, one of the ~",एक
한강,"Han River, Hangang",हान नदी
한국,Korea,कोरिया
한국드라마,Korean drama,कोरियाई नाटक
한국말,Korean language,कोरियाई
한국사람,Korean people,कोरियाई लोग
한국어,Korean language,कोरियाई
한국요리,Korean cuisine,कोरियाई व्यंजन
한글,Hangul,कोरियाई
한번,once,एक बार
한복,"Hanbok, Korean traditional clothes",हनबोक
한식,Korean cuisine,कोरियाई भोजन
한자,Chinese character,चीनी पात्र
할머니,grandmother,दादी
할아버지,grandfather,दादा
할인,"sale, discount",छूट
함께,together,एक साथ
합격,pass,उत्तीर्ण
항상,always,हमेशा
해,"year, sun",सूरज
해외,overseas,प्रवासी
해외여행,overseas trip,समुद्रपार की यात्रा
핸드폰,"cell phone, mobile phone",सेलफोन
햄버거,hamburger,हैमबर्गर
햇빛,"sunshine, sunlight",सूरज की रोशनी
행복,happiness,ख़ुशी
행복하다,happy,खुश
행사,event,आयोजन
허리,"waist, hip",कमर
현금,cash,नकद
현재,"now, current",आज
형,brother (as seen from the younger brother),भाई
형님,big brother (honorific form),बड़े भाई
형제,sibling,भाई बहन
호,No. ~,पसंद
호랑이,tiger,चीता
감사하다,"thank, appreciate",धन्यवाद
감사합니다,thank you,धन्यवाद
감자,potato,आलू
감자탕,"Gamjatang, potato soup",गमजतांग
갑자기,suddenly,अचानक
값,price,कीमत
강,river,नदी
강아지,puppy,कुत्ते का पिल्ला
강좌,lecture,कुर्सी
갖다,have,लेना
같다,same,वही
같이,together,एक साथ
개,"dog, ~ piece(s)",कुत्ता
개나리,forsythia,फोर्सिथिया
개인,individual,व्यक्ति
거기,there,वहाँ
거리,street,दूरी
거실,living room,बैठक कक्ष
거울,mirror,आईना
거의,"almost, nearly",लगभग
거짓말,lie,झूठ
걱정,"anxiety, concern",चिंता
걱정하다,worry,चिंता
건강,health,स्वास्थ्य
건강하다,be healthy,स्वस्थ
건너가다,cross (a road),पार करना
건너다,cross over,खत्म हो जाना
건너편,"other side, opposite side",सड़क के पार
건물,building,इमारत
건배,"cheers, toast",प्रोत्साहित करना
걷다,walk,टहलना
걸다,"bet, call",लटकाना
걸리다,"get caught, take (time)",लटकाना
걸어가다,walk (go),टहलना
걸어오다,walk (come),टहलना
검은색,black,काला
것,"that, thing, it",चीज़
게임,game,खेल
겨울,winter,सर्दी
겨울방학,winter vacation,सर्दी की छुट्टीयां
골목,alley,गली
골프,golf,गोल्फ़
곱다,beautiful,सुंदर
곳,place,जगह
공,ball,गेंद
공간,space,अंतरिक्ष
공기,air,वायु
공무원,public official,सार्वजनिक अधिकारी
공부,study,अध्ययन
공부하다,study,अध्ययन
공연,"show, public performance",प्रदर्शन
공원,park,पार्क
